"minute","second","possession","duration","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","shot.statsbomb_xg","shot.saved_off_target","shot.aerial_won","shot.one_on_one","shot.deflected","shot.first_time","shot.redirect","shot.technique.id","shot.technique.name","shot.body_part.id","shot.body_part.name","shot.type.id","shot.type.name","shot.outcome.id","shot.outcome.name","match_id","location_x","location_y"
45,24,73,"0.975471",NA,772,"Spain",8,"From Keeper",772,"Spain",3265,"José Luis Sanmartín Mato",23,"Center Forward","0.014968767",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",98,"Off T",3930179,"104","24.3"
46,31,75,"0.585297",NA,772,"Spain",9,"From Kick Off",772,"Spain",3265,"José Luis Sanmartín Mato",23,"Center Forward","0.06717369",NA,NA,NA,NA,TRUE,NA,95,"Volley",38,"Left Foot",87,"Open Play",98,"Off T",3930179,"110.4","36.2"
47,27,79,"0.031514",NA,772,"Spain",6,"From Counter",772,"Spain",6685,"Mikel Oyarzabal Ugarte",21,"Left Wing","0.18723619",NA,NA,NA,NA,TRUE,NA,93,"Normal",38,"Left Foot",87,"Open Play",100,"Saved",3930179,"108.6","44.8"
49,18,84,"0.119239",NA,906,"Albania",1,"Regular Play",906,"Albania",57303,"Kristjan Asllani",11,"Left Defensive Midfield","0.044980317",NA,NA,NA,NA,TRUE,NA,93,"Normal",40,"Right Foot",87,"Open Play",96,"Blocked",3930179,"96.6","33.2"
49,37,84,"2.694128",NA,906,"Albania",1,"Regular Play",772,"Spain",16532,"Daniel Olmo Carvajal",19,"Center Attacking Midfield","0.006101164",NA,NA,NA,NA,NA,NA,92,"Lob",40,"Right Foot",87,"Open Play",98,"Off T",3930179,"61","43.8"
63,48,100,"0.480545",NA,906,"Albania",3,"From Free Kick",906,"Albania",36885,"Armando Broja",23,"Center Forward","0.117052965",NA,NA,NA,NA,TRUE,NA,91,"Half Volley",40,"Right Foot",87,"Open Play",100,"Saved",3930179,"105.7","48.1"
64,37,101,"0.129921",NA,906,"Albania",4,"From Throw In",906,"Albania",57303,"Kristjan Asllani",11,"Left Defensive Midfield","0.030892402",NA,NA,NA,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",96,"Blocked",3930179,"95.7","31.3"
68,52,109,"0.069482",TRUE,906,"Albania",1,"Regular Play",906,"Albania",41186,"Jasir Asani",17,"Right Wing","0.008626999",NA,NA,NA,TRUE,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",100,"Saved",3930179,"96.6","62"
75,37,124,"0.530811",TRUE,772,"Spain",1,"Regular Play",772,"Spain",143864,"Fermin Lopez Marin",19,"Center Attacking Midfield","0.008684722",NA,NA,NA,NA,TRUE,NA,93,"Normal",40,"Right Foot",87,"Open Play",101,"Wayward",3930179,"95.9","60.5"
76,24,126,"0.07244",TRUE,772,"Spain",1,"Regular Play",772,"Spain",143864,"Fermin Lopez Marin",19,"Center Attacking Midfield","0.02939205",NA,NA,NA,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",96,"Blocked",3930179,"97.4","48.1"
76,47,127,"1.339728",NA,906,"Albania",1,"Regular Play",906,"Albania",57303,"Kristjan Asllani",11,"Left Defensive Midfield","0.025797911",NA,NA,NA,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",98,"Off T",3930179,"98.4","23.9"
77,58,129,"0.424932",NA,906,"Albania",1,"Regular Play",906,"Albania",142800,"Medon Berisha",19,"Center Attacking Midfield","0.03180046",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",96,"Blocked",3930179,"94.4","46.8"
