"minute","second","possession","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","dribble.nutmeg","dribble.no_touch","dribble.outcome.id","dribble.outcome.name","match_id","dribble.overrun","location_x","location_y"
59,47,98,TRUE,768,"England",1,"Regular Play",768,"England",99174,"Kobbie Mainoo",9,"Right Defensive Midfield",NA,NA,9,"Incomplete",3943043,NA,"105","74.6"
63,11,100,TRUE,768,"England",3,"From Free Kick",768,"England",30714,"Jude Bellingham",21,"Left Wing",NA,NA,8,"Complete",3943043,NA,"93.5","42.5"
70,29,112,TRUE,768,"England",4,"From Throw In",768,"England",22084,"Bukayo Saka",17,"Right Wing",NA,NA,9,"Incomplete",3943043,NA,"85.9","67.1"
71,45,115,TRUE,772,"Spain",6,"From Counter",772,"Spain",24921,"Martín Zubimendi Ibáñez",9,"Right Defensive Midfield",NA,NA,8,"Complete",3943043,NA,"63.6","39.9"
74,49,121,TRUE,768,"England",4,"From Throw In",768,"England",39461,"Cole Palmer",19,"Center Attacking Midfield",NA,NA,9,"Incomplete",3943043,NA,"107.6","71.6"
82,9,130,TRUE,772,"Spain",4,"From Throw In",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,9,"Incomplete",3943043,NA,"99.7","13.3"
82,11,131,TRUE,768,"England",1,"Regular Play",768,"England",3205,"Kyle Walker",2,"Right Back",NA,NA,9,"Incomplete",3943043,NA,"27.8","67.9"
84,3,133,TRUE,772,"Spain",1,"Regular Play",772,"Spain",16532,"Daniel Olmo Carvajal",19,"Center Attacking Midfield",NA,NA,9,"Incomplete",3943043,NA,"101.2","51"
85,7,135,TRUE,768,"England",8,"From Keeper",768,"England",3205,"Kyle Walker",2,"Right Back",NA,NA,8,"Complete",3943043,NA,"37","65.4"
0,14,2,TRUE,771,"France",9,"From Kick Off",771,"France",5477,"Ousmane Dembélé",17,"Right Wing",NA,NA,9,"Incomplete",3942752,NA,"59.4","70.7"
0,19,3,TRUE,772,"Spain",1,"Regular Play",772,"Spain",6765,"Rodrigo Hernández Cascante",9,"Right Defensive Midfield",NA,NA,9,"Incomplete",3942752,NA,"64.7","31.7"
3,47,11,TRUE,771,"France",1,"Regular Play",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,9,"Incomplete",3942752,NA,"79.7","2.8"
4,31,12,TRUE,772,"Spain",1,"Regular Play",772,"Spain",16532,"Daniel Olmo Carvajal",19,"Center Attacking Midfield",NA,NA,8,"Complete",3942752,NA,"78.1","28.3"
5,33,13,TRUE,771,"France",7,"From Goal Kick",771,"France",3009,"Kylian Mbappé Lottin",21,"Left Wing",NA,NA,9,"Incomplete",3942752,NA,"65.3","13.7"
18,15,28,TRUE,771,"France",1,"Regular Play",771,"France",3009,"Kylian Mbappé Lottin",21,"Left Wing",NA,NA,8,"Complete",3942752,NA,"106.9","30.7"
24,22,41,TRUE,772,"Spain",4,"From Throw In",772,"Spain",16532,"Daniel Olmo Carvajal",19,"Center Attacking Midfield",NA,NA,8,"Complete",3942752,NA,"107.8","45.5"
