"minute","second","possession","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","dribble.nutmeg","dribble.no_touch","dribble.outcome.id","dribble.outcome.name","match_id","dribble.overrun","location_x","location_y"
74,15,115,TRUE,2138,"Georgia",3,"From Free Kick",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,9,"Incomplete",3941018,NA,"69.5","53.8"
74,23,115,TRUE,2138,"Georgia",3,"From Free Kick",2138,"Georgia",33234,"Georges Mikautadze",22,"Right Center Forward",NA,NA,9,"Incomplete",3941018,NA,"94.9","21.3"
74,28,116,TRUE,772,"Spain",6,"From Counter",772,"Spain",6655,"Fabián Ruiz Peña",15,"Left Center Midfield",NA,NA,8,"Complete",3941018,NA,"26.7","42.6"
74,38,116,TRUE,772,"Spain",6,"From Counter",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,8,"Complete",3941018,NA,"101.4","21.4"
76,57,118,TRUE,772,"Spain",1,"Regular Play",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",TRUE,NA,8,"Complete",3941018,NA,"105.9","27.4"
82,34,128,TRUE,772,"Spain",1,"Regular Play",772,"Spain",16532,"Daniel Olmo Carvajal",19,"Center Attacking Midfield",NA,NA,8,"Complete",3941018,NA,"100.9","38.9"
86,53,133,TRUE,2138,"Georgia",1,"Regular Play",2138,"Georgia",38229,"Khvicha Kvaratskhelia",24,"Left Center Forward",NA,NA,9,"Incomplete",3941018,TRUE,"104.5","24.6"
89,34,137,TRUE,772,"Spain",8,"From Keeper",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,8,"Complete",3941018,NA,"100.4","57.9"
90,31,140,TRUE,772,"Spain",4,"From Throw In",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,9,"Incomplete",3941018,NA,"110.2","61.2"
1,32,6,TRUE,772,"Spain",1,"Regular Play",772,"Spain",3265,"José Luis Sanmartín Mato",23,"Center Forward",NA,NA,8,"Complete",3930179,NA,"35.8","55.8"
6,10,13,TRUE,772,"Spain",6,"From Counter",772,"Spain",16532,"Daniel Olmo Carvajal",19,"Center Attacking Midfield",NA,NA,8,"Complete",3930179,NA,"90.6","63.9"
8,52,17,TRUE,906,"Albania",3,"From Free Kick",906,"Albania",7531,"Qazim Laçi",19,"Center Attacking Midfield",NA,NA,9,"Incomplete",3930179,NA,"52.7","67.8"
11,5,20,TRUE,772,"Spain",1,"Regular Play",772,"Spain",6821,"Jesús Navas González",2,"Right Back",NA,NA,8,"Complete",3930179,NA,"107.2","76.6"
15,49,28,TRUE,906,"Albania",1,"Regular Play",906,"Albania",41186,"Jasir Asani",17,"Right Wing",NA,NA,8,"Complete",3930179,NA,"54.7","75.3"
15,49,28,TRUE,906,"Albania",1,"Regular Play",906,"Albania",41186,"Jasir Asani",17,"Right Wing",NA,NA,8,"Complete",3930179,NA,"52.9","68.7"
