"minute","second","possession","under_pressure","counterpress","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","duel.type.id","duel.type.name","duel.outcome.id","duel.outcome.name","match_id","location_x","location_y"
27,34,50,TRUE,TRUE,906,"Albania",1,"Regular Play",906,"Albania",49097,"Mario Mitaj",6,"Left Back",11,"Tackle",4,"Won",3930179,"25.1","17.5"
30,49,54,TRUE,NA,906,"Albania",4,"From Throw In",772,"Spain",6821,"Jesús Navas González",2,"Right Back",11,"Tackle",14,"Lost Out",3930179,"21.7","78.2"
32,8,57,TRUE,TRUE,772,"Spain",4,"From Throw In",772,"Spain",3042,"Mikel Merino Zazón",11,"Left Defensive Midfield",11,"Tackle",16,"Success In Play",3930179,"101.3","24.7"
32,34,57,TRUE,NA,772,"Spain",4,"From Throw In",772,"Spain",3265,"José Luis Sanmartín Mato",23,"Center Forward",10,"Aerial Lost",NA,NA,3930179,"113.6","39.7"
37,42,64,TRUE,NA,772,"Spain",4,"From Throw In",906,"Albania",23987,"Rey Manaj",23,"Center Forward",10,"Aerial Lost",NA,NA,3930179,"97.6","15"
38,27,64,TRUE,NA,772,"Spain",4,"From Throw In",906,"Albania",49097,"Mario Mitaj",6,"Left Back",11,"Tackle",4,"Won",3930179,"9.3","26.1"
38,43,64,TRUE,NA,772,"Spain",4,"From Throw In",772,"Spain",24921,"Martín Zubimendi Ibáñez",9,"Right Defensive Midfield",11,"Tackle",16,"Success In Play",3930179,"28.9","63.1"
41,21,67,TRUE,NA,772,"Spain",1,"Regular Play",772,"Spain",3265,"José Luis Sanmartín Mato",23,"Center Forward",10,"Aerial Lost",NA,NA,3930179,"75.5","22.5"
42,14,69,TRUE,NA,772,"Spain",1,"Regular Play",772,"Spain",3265,"José Luis Sanmartín Mato",23,"Center Forward",10,"Aerial Lost",NA,NA,3930179,"112.4","40.1"
44,38,71,TRUE,NA,906,"Albania",7,"From Goal Kick",906,"Albania",8291,"Arlind Afrim Ajeti",3,"Right Center Back",10,"Aerial Lost",NA,NA,3930179,"95.2","19.7"
45,11,73,TRUE,NA,772,"Spain",8,"From Keeper",772,"Spain",6821,"Jesús Navas González",2,"Right Back",10,"Aerial Lost",NA,NA,3930179,"37.6","66.7"
45,54,74,TRUE,NA,906,"Albania",7,"From Goal Kick",906,"Albania",7531,"Qazim Laçi",19,"Center Attacking Midfield",10,"Aerial Lost",NA,NA,3930179,"63.9","39.8"
47,12,77,TRUE,TRUE,772,"Spain",6,"From Counter",906,"Albania",57303,"Kristjan Asllani",11,"Left Defensive Midfield",10,"Aerial Lost",NA,NA,3930179,"73.6","24.5"
